seg1,seg2,label,contradiction type,issues?
"Yup! I think that's where astrobiology is needed, it studies the origin, evolution, and distribution of previous and future life in the universe. I hope we get more information someday to explain lifeforms!",I think spending on stuff like space and outer space exploration are a waste of money. ,self-contradiction,lexical,
"Yes I have  chevy truck it is gold color, is your car good on gas ?",I am thinking of changing my Toyota Venza from red to black.,self-contradiction,lexical,
That is so messed up.,"Honestly, it's not that big of a deal. Just do your job and don't worry about anybody else.",self-contradiction,N-a,Missing Context
"I am a high school cooking teacher and students have been really eager to learn about making pho, another Vietnamese specialty. I love it!",I just taught a class on teriyaki preparation at the college i teach at.,self-contradiction,lexical,
That is so wonderful that you have something of hers.  I'm so sorry you lost her.  That is so difficult.  Did she love cooking?,I don't care about your mom. Losing people is easy.,self-contradiction,lexical,
Oh no silly.  You are thinking of 1984.  Catcher in the Rye is by JD Salinger.  Sound familair?,Well looks like good book i should read it.,self-contradiction,lexical,Missing Context
Aww sound sweet. I have a corgi name Max we do everything together.,"Yes, the only dog I have is a dalmatian and he is very good.",self-contradiction,lexical,
"hello ! i like rock and roll , dude ! what about you , man ?",Yeah I don't want to look like one of those rock and roll dudes.  I can't stand rock and roll.,self-contradiction,negation,
hot pink with purple highlights ! what is your favorite animal ?,I have never colored my hair,self-contradiction,negation,Missing Context
My favorite topping is definitely pepperoni but that combo is my favorite],I buy them from the MaMa pizza place.,self-contradiction,N-a,Missing Context
Hi! I am not the biggest fan of country music. I find it to be rather repetitive and boring. ,That's why I listen to it so much.,self-contradiction,lexical,Missing Context
It is and alot of them need that help and support but just don't have it I know here in Florida they offer child care assistance but I'm not sure about all over or in other states. ,"I wish, my state, Florida, would offer child care assistance, it doesn't yet.",self-contradiction,negation,
that is a little much for me,I'm an avid reader myself so I can relate to improving reading hours.,self-contradiction,N-a,Missing Context
i'd love to be 25 again . i spent that birthday at the tatoo parlor all day !,I am so glad i'm not 25.,self-contradiction,negation,
Do you believe in God. I love him,Sounds boring. I'm atheist so I can't sympathize with that.,self-contradiction,lexical,
I am sure you will get there. I must say guitar is my favourite instrument. You will pick it up easily! ,"I hate music, I never listen to it or play it. ",self-contradiction,lexical,
Smart man smart man.,I disagree. If you have the chance to be lazy at work you should take it.,self-contradiction,N-a,Missing Context
Sounds like the right move. Good on you for standing up for yourself.,I hope you get beat up next time,self-contradiction,lexical,Missing Context
"me too , especially with four daughters",I have two kids and they also like to spend time outside. ,self-contradiction,numeric,
"yes, I was on the army for 2 years and I got real skills",I don't have much real skills since i never joined the army.,self-contradiction,negation,
"thats awesome ,  one day i want to make it to retirement im happy to hear people work this long,  in my area young people refuse to work all they do is party and live off there familys money","No worries, even if I'm not that interested in having to work, I can still appreciate those that do!",self-contradiction,N-a,Missing Context
"im not sure, i didnt really care to be honest","maybe he was just someone sitting down, having a rest.",self-contradiction,N-a,Missing Context
There is a big storm coming my way.,Yeah. At least there are no storms coming my way. ,self-contradiction,negation,
I can't say I have had any mean dogs as of yet.  My favorite breed is  a pitbull.   THey are so loyal  and sweet although  lots of people claim they are mean and vicious .,Right? I always cross the street when I see someone with a pitbull.,self-contradiction,lexical,
"Lol I prefer more recent video games like the fallout series, the whole backdrop of the game is a world after the post apocalyptic nuclear fallout has seeped into everything",I don't know; I've never played Fallout.  I don't like those post apocalyptic games.,self-contradiction,negation,
not really i swim when i get free time,I need to learn how to swim ,self-contradiction,lexical,
why did not you ? florida is red state . red is my favorite color !,"Yes, blue is my favourite. ",self-contradiction,lexical,
"Awesome, congrats. There's a lot of work planning a wedding",Wow. It only took me a week and was easy.,self-contradiction,lexical,Missing Context
I've never had a pair either - but I don't despise them. Why do you feel so strongly?,I have a pair of Jordans in my closet,self-contradiction,negation,Missing Context
do you like horses ? i work with them here on my ranch .,"I live in an apartment in a big city, so there's no space to grow food. ",self-contradiction,lexical,
I just have an office job. I work hard though. I think I need a vacation. ,"No, it's great, my vacation in Greece is going well!",self-contradiction,lexical,
"that is so sweet ! i am eating shrimp , do you like shrimp ?","yes, i was eating hamburgers",self-contradiction,lexical,
So my friend surprised me with tickets to see my favorite band this Saturday. I thought it was sold out. I cannot wait.,"Yeah it should be, Slayer is my favorite band though.",self-contradiction,N-a,Missing Context
They are awesome. I was so impressed how good they were live. I didn't think listening to them live was better than with my headphones!,the crowd makes the live perormance cheerful,self-contradiction,N-a,not necessarily a contradiction
"Fruit cakes are probably best homemade. I'm vegan, so it's hard for me to find a good fruit cake","I wish I could paint but I don't have a creative bone in my body. If I did, I'd probably paint pieces of fried chicken because it's my favorite food.",self-contradiction,N-a,doesn’t make any sense
